,0
0,20.53790325011417
1,5.265279499504242
2,6.732432966215976
3,12.843978634324564
4,17.455904604431645
5,15.262368435143994
6,21.24525968920115
7,22.075151503552043
8,12.60396234504368
9,23.43648707649858
10,15.404858027219374
11,9.755969411047523
12,8.81092013090888
13,12.201870273855253
14,17.119480159107226
15,21.746959706857368
16,13.070902509602282
17,9.058265102303224
18,6.524998074627966
19,4.2830316212383135
20,20.00726154968808
21,13.377065469458245
22,8.412075716924935
23,13.968930787328693
24,16.47733047389944
25,6.416797933157076
26,15.540808444432404
27,11.53423683385284
28,15.664867060397972
29,13.783759671246939
30,8.13040592391312
31,9.997911057569894
32,10.493734155448085
33,20.940988190168
34,21.95003909394697
35,6.922364073456499
36,8.043684755741406
37,5.990796922978712
38,9.05360845614723
39,10.494243853725
40,14.82770397476792
41,14.22970722395143
42,16.847448658486194
43,11.988167730569849
44,11.752927060210917
45,21.85473808689389
46,17.535427428749585
47,19.932473579908688
48,8.089351807489862
49,17.73283306686113
